{'weight': 72.0, 'image': ['/cropsImages/B/B01/AIF010/C43/C43_B01_003_211216171300.jpg', '/cropsImages/B/B01/AIF010/C43/C43_B01_003_211217161300.jpg', '/cropsImages/B/B01/AIF010/C43/C43_B01_003_211218171300.jpg', '/cropsImages/B/B01/AIF010/C43/C43_B01_003_211219171300.jpg', '/cropsImages/B/B01/AIF010/C43/C43_B01_003_211220171300.jpg', '/cropsImages/B/B01/AIF010/C43/C43_B01_003_211221171300.jpg', '/cropsImages/B/B01/AIF010/C43/C43_B01_003_211222171300.jpg', '/cropsImages/B/B01/AIF010/C43/C43_B01_003_211223171300.jpg', '/cropsImages/B/B01/AIF010/C43/C43_B01_003_211224171300.jpg', '/cropsImages/B/B01/AIF010/C43/C43_B01_003_211225171300.jpg'], 'env': [28.5, 11.0, 6.5, 5.5]}
{'weight': 9.0, 'image': ['/cropsImages/B/B01/AIF004/C18/C18_B01_003_211025170832.jpg', '/cropsImages/B/B01/AIF004/C18/C18_B01_003_211026170832.jpg', '/cropsImages/B/B01/AIF004/C18/C18_B01_003_211027170832.jpg', '/cropsImages/B/B01/AIF004/C18/C18_B01_003_211028170832.jpg', '/cropsImages/B/B01/AIF004/C18/C18_B01_003_211029170832.jpg', '/cropsImages/B/B01/AIF004/C18/C18_B01_003_211030170832.jpg', '/cropsImages/B/B01/AIF004/C18/C18_B01_003_211031160832.jpg', '/cropsImages/B/B01/AIF004/C18/C18_B01_003_211101170832.jpg', '/cropsImages/B/B01/AIF004/C18/C18_B01_003_211102170832.jpg', '/cropsImages/B/B01/AIF004/C18/C18_B01_003_211103170832.jpg'], 'env': [31.5, 8.0, 14.2, 10.6]}
{'weight': 42.0, 'image': ['/cropsImages/B/B02/AIF005/C23/C23_B02_001_211229171326.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_001_211230131326.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_001_211231171326.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_001_220101171326.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_001_220102171326.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_001_220103151326.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_001_220104172614.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_001_220105092614.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_001_220111172614.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_001_220112172614.jpg'], 'env': [19.2, 13.0, 8.0, 6.6]}
{'weight': 25.0, 'image': ['/cropsImages/B/B01/AIF010/C42/C42_B01_003_211125171341.jpg', '/cropsImages/B/B01/AIF010/C42/C42_B01_003_211126161341.jpg', '/cropsImages/B/B01/AIF010/C42/C42_B01_003_211127171341.jpg', '/cropsImages/B/B01/AIF010/C42/C42_B01_003_211128171341.jpg', '/cropsImages/B/B01/AIF010/C42/C42_B01_003_211129171341.jpg', '/cropsImages/B/B01/AIF010/C42/C42_B01_003_211130171341.jpg', '/cropsImages/B/B01/AIF010/C42/C42_B01_003_211201171341.jpg', '/cropsImages/B/B01/AIF010/C42/C42_B01_003_211202171341.jpg', '/cropsImages/B/B01/AIF010/C42/C42_B01_003_211203161341.jpg', '/cropsImages/B/B01/AIF010/C42/C42_B01_003_211204161341.jpg'], 'env': [29.0, 10.0, 9.0, 7.5]}
{'weight': 52.0, 'image': ['/cropsImages/B/B01/AIF010/C44/C44_B01_002_211125171403.jpg', '/cropsImages/B/B01/AIF010/C44/C44_B01_002_211126161403.jpg', '/cropsImages/B/B01/AIF010/C44/C44_B01_002_211127171403.jpg', '/cropsImages/B/B01/AIF010/C44/C44_B01_002_211128171403.jpg', '/cropsImages/B/B01/AIF010/C44/C44_B01_002_211129171403.jpg', '/cropsImages/B/B01/AIF010/C44/C44_B01_002_211130171403.jpg', '/cropsImages/B/B01/AIF010/C44/C44_B01_002_211201141403.jpg', '/cropsImages/B/B01/AIF010/C44/C44_B01_002_211202171403.jpg', '/cropsImages/B/B01/AIF010/C44/C44_B01_002_211203171403.jpg', '/cropsImages/B/B01/AIF010/C44/C44_B01_002_211204171403.jpg'], 'env': [30.5, 13.0, 12.0, 8.5]}
{'weight': 13.5, 'image': ['/cropsImages/B/B01/AIF006/C04/C04_B01_09_16_001_211227162254.jpg', '/cropsImages/B/B01/AIF006/C04/C04_B01_09_16_001_211228172254.jpg', '/cropsImages/B/B01/AIF006/C04/C04_B01_09_16_001_211229172254.jpg', '/cropsImages/B/B01/AIF006/C04/C04_B01_09_16_001_211230182254.jpg', '/cropsImages/B/B01/AIF006/C04/C04_B01_09_16_001_211231172254.jpg', '/cropsImages/B/B01/AIF006/C04/C04_B01_09_16_001_220101142254.jpg', '/cropsImages/B/B01/AIF006/C04/C04_B01_09_16_001_220102142254.jpg', '/cropsImages/B/B01/AIF006/C04/C04_B01_09_16_001_220103172254.jpg', '/cropsImages/B/B01/AIF006/C04/C04_B01_09_16_001_220104162254.jpg', '/cropsImages/B/B01/AIF006/C04/C04_B01_09_16_001_220105142254.jpg'], 'env': [29.0, 10.0, 8.0, 9.5]}
{'weight': 43.0, 'image': ['/cropsImages/B/B01/AIF010/C41/C41_B01_004_211209164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_004_211210164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_004_211211164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_004_211212164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_004_211213164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_004_211214164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_004_211215164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_004_211216164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_004_211217164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_004_211218164513.jpg'], 'env': [27.0, 11.0, 6.5, 6.0]}
{'weight': 16.0, 'image': ['/cropsImages/B/B01/AIF013/C53/C53_B01_003_211212163903.jpg', '/cropsImages/B/B01/AIF013/C53/C53_B01_003_211213163903.jpg', '/cropsImages/B/B01/AIF013/C53/C53_B01_003_211214163903.jpg', '/cropsImages/B/B01/AIF013/C53/C53_B01_003_211215163903.jpg', '/cropsImages/B/B01/AIF013/C53/C53_B01_003_211216093903.jpg', '/cropsImages/B/B01/AIF013/C53/C53_B01_003_211217163903.jpg', '/cropsImages/B/B01/AIF013/C53/C53_B01_003_211218163903.jpg', '/cropsImages/B/B01/AIF013/C53/C53_B01_003_211219163903.jpg', '/cropsImages/B/B01/AIF013/C53/C53_B01_003_211220163903.jpg', '/cropsImages/B/B01/AIF013/C53/C53_B01_003_211221153903.jpg'], 'env': [35.0, 7.0, 12.0, 10.0]}
{'weight': 18.0, 'image': ['/cropsImages/B/B02/AIF005/C23/C23_B02_005_211121165832.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_005_211122155832.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_005_211123165832.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_005_211124165832.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_005_211125165832.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_005_211126165832.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_005_211127115832.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_005_211129172603.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_005_211130172603.jpg', '/cropsImages/B/B02/AIF005/C23/C23_B02_005_211201162603.jpg'], 'env': [26.5, 7.0, 11.6, 10.4]}
{'weight': 4.0, 'image': ['/cropsImages/B/B01/AIF006/C06/C06_B01_25_32_004_211217162821.jpg', '/cropsImages/B/B01/AIF006/C06/C06_B01_25_32_004_211218142821.jpg', '/cropsImages/B/B01/AIF006/C06/C06_B01_25_32_004_211219142821.jpg', '/cropsImages/B/B01/AIF006/C06/C06_B01_25_32_004_211220172821.jpg', '/cropsImages/B/B01/AIF006/C06/C06_B01_25_32_004_211221172821.jpg', '/cropsImages/B/B01/AIF006/C06/C06_B01_25_32_004_211222172821.jpg', '/cropsImages/B/B01/AIF006/C06/C06_B01_25_32_004_211223162821.jpg', '/cropsImages/B/B01/AIF006/C06/C06_B01_25_32_004_211227152821.jpg', '/cropsImages/B/B01/AIF006/C06/C06_B01_25_32_004_211228172821.jpg', '/cropsImages/B/B01/AIF006/C06/C06_B01_25_32_004_211229172821.jpg'], 'env': [26.0, 8.0, 8.0, 10.0]}
{'weight': 15.0, 'image': ['/cropsImages/B/B01/AIF010/C41/C41_B01_002_211223164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_002_211224164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_002_211225164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_002_211226164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_002_211227164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_002_211228164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_002_211229164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_002_211230164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_002_211231164513.jpg', '/cropsImages/B/B01/AIF010/C41/C41_B01_002_220101164513.jpg'], 'env': [31.0, 12.0, 5.4, 4.8]}
